branch_id,branch_name
ET0010165,MEKI BRANCH
ET0010467,MEKOY BRANCH
ET0010550,MELEKOZA BRANCH
ET0010914,MELIYU BRANCH
ET0010933,MELKA JEBDU BRANCH
ET0010635,MELKA RAFU BRANCH
ET0010956,MENGE BRANCH
ET0010966,MENGISTU WORKU BRANCH
ET0010369,MENHARYA BRANCH
ET0010813,MENKORER BRANCH
ET0010586,MENZ LALO MIDIR BRANCH
ET0010670,MERAWI BRANCH
ET0010093,MERI BRANCH
ET0010270,MERI LOKE BRANCH
ET0010845,MERI SUMMIT BRANCH
ET0010686,MERKATO BIRET TERA BR
ET0010056,MERKATO BRANCH
ET0010727,MERKATO SHERA TERA BR
ET0010111,MERKATOMILITARYTERA BR
ET0010277,MERSA BRANCH
ET0010103,MERTOLEMARIAM BRANCH
ET0010750,MERWA BRANCH
ET0010091,MESALEMIYA BRANCH
ET0010083,MESKEL FLOWER
ET0010812,METEH BELA BRANCH
ET0010329,METEHARA BRANCH
ET0010068,METEMA YOHANNES BRANCH
ET0010423,METI BRANCH
ET0010105,METU BRANCH
ET0010587,MEXICO BRANCH
ET0010568,MIDA BRANCH
ET0010953,MIDRE GENET BRANCH
ET0010531,MIESO BRANCH
ET0010680,MIGRA BRANCH
ET0010337,MILITARY TERA NO 2 BR
